,Артикул,Бренд,Для кого,Примерный вес,Тип металла,Проба,Покрытие,Тип вставки,Форма вставки,Количество,Цвет,Вес,Цветность,Чистота,Огранка,Тип вставки 2,Форма вставки 2,Количество 2,Цвет 2,Вес 2,Цветность 2,Чистота 2,Огранка 2,Цена со скидкой,Цена без скидки,Номер страницы,Ширина кольца,Ширина,Высота,Длина,Размеры вставки,Коллекция,Тип вставки 3,Форма вставки 3,Количество 3,Цвет 3,Вес 3,Цветность 3,Чистота 3,Тип вставки 4,Форма вставки 4,Количество 4,Цвет 4,Вес 4,Размеры вставки 2,Тип вставки 5,Форма вставки 5,Количество 5,Цвет 5,Вес 5,Размеры вставки 3,Размеры вставки 4,Размеры вставки 5,Тип вставки 6,Форма вставки 6,Количество 6,Цвет 6,Вес 6,Размеры вставки 6,Тип вставки 7,Форма вставки 7,Количество 7,Цвет 7,Вес 7,Размеры вставки 7,Тип вставки 8,Форма вставки 8,Количество 8,Цвет 8,Вес 8,Размеры вставки 8,Тип вставки 9,Форма вставки 9,Количество 9,Цвет 9,Вес 9,Размеры вставки 9,Огранка 3,Цветность 4,Чистота 4,Огранка 4,Тип вставки 10,Форма вставки 10,Количество 10,Цвет 10,Вес 10,Размеры вставки 10,Тип вставки 11,Форма вставки 11,Количество 11,Цвет 11,Вес 11,Размеры вставки 11,Тип вставки 12,Форма вставки 12,Количество 12,Цвет 12,Вес 12,Размеры вставки 12,Тип вставки 13,Форма вставки 13,Количество 13,Цвет 13,Вес 13,Размеры вставки 13,Тип вставки 14,Форма вставки 14,Количество 14,Цвет 14,Вес 14,Размеры вставки 14
10,1012564-3,SOKOLOV,Для женщин,0.78 г,Белое золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.029 карат,4,7,А,,,,,,,,,8990,8990,1,1 мм,4 мм,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1011677,SOKOLOV,Для женщин,1.5 г,Белое золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.1 карат,3,7,,,,,,,,,,65250,144990,1,2 мм,4 мм,4 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1010256,SOKOLOV,Для женщин,3.74 г,Белое золото,585,,Бриллиант (природный),Круг,134 шт,Бесцветный,0.496 карат,2,3,,,,,,,,,,119250,264990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1012326-3,SOKOLOV,Для женщин,3.35 г,Белое золото,585,Родирование,Бриллиант (природный),Круг,12 шт,Бесцветный,0.437 карат,3,6,,,,,,,,,,146250,324990,1,3 мм,5 мм,2 мм,19 мм,,PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1011803,SOKOLOV,Для женщин,1.98 г,Белое золото,585,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.081 карат,3,6,,Бриллиант (природный),Круг,20 шт,Бесцветный,0.058 карат,2,3,,76500,169990,1,2 мм,5 мм,4 мм,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1012336-3,SOKOLOV,Для женщин,1.11 г,Белое золото,585,Родирование,Бриллиант (природный),Круг,26 шт,Бесцветный,0.075 карат,2,3,,,,,,,,,,31500,69990,1,2 мм,3 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1011797,SOKOLOV,Для женщин,1.81 г,Комбинированное золото,585,,Бриллиант (природный),Круг,8 шт,Бесцветный,0.023 карат,2,3,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.021 карат,3,6,,54000,119990,1,1 мм,7 мм,4 мм,7 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1012616,SOKOLOV,Для женщин,3.39 г,Красное золото,585,Родирование,Бриллиант (природный),Круг,56 шт,Бесцветный,0.154 карат,2,3,А,,,,,,,,,39990,39990,1,5 мм,5 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1011557,SOKOLOV,Для женщин,1.78 г,Комбинированное золото,585,"Алмазная грань,  Родирование",Бриллиант (природный),Круг,1 шт,Бесцветный,0.03 карат,3,6,,,,,,,,,,42750,94990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1011492,SOKOLOV,Для женщин,1.37 г,Комбинированное золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.03 карат,3,6,,,,,,,,,,35100,77990,1,2 мм,5 мм,4 мм,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1011802,SOKOLOV,Для женщин,2.02 г,Комбинированное золото,585,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.081 карат,3,6,,Бриллиант (природный),Круг,20 шт,Бесцветный,0.058 карат,2,3,,76500,169990,1,2 мм,5 мм,4 мм,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1011510,SOKOLOV,Для женщин,1.05 г,Комбинированное золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.013 карат,3,6,,,,,,,,,,10990,10990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1012584,SOKOLOV,Для женщин,0.91 г,Красное золото,585,Родирование,Бриллиант (природный),Круг,23 шт,Бесцветный,0.069 карат,2,3,А,,,,,,,,,7990,7990,1,2 мм,2 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1012564,SOKOLOV,Для женщин,0.77 г,Красное золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.03 карат,4,7,А,,,,,,,,,8990,8990,1,1 мм,4 мм,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1012010,SOKOLOV,Для женщин,1.62 г,Комбинированное золото,585,Родирование,Бриллиант (природный),Круг,16 шт,Бесцветный,0.086 карат,2,3,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.016 карат,3,6,,54000,119990,1,2 мм,4 мм,5 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1012306,SOKOLOV,Для женщин,0.83 г,Красное золото,585,Родирование,Бриллиант (природный),Круг,23 шт,Бесцветный,0.067 карат,2,3,,,,,,,,,,13990,13990,1,1 мм,3 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,7010060,SOKOLOV,Для женщин,1.98 г,Красное золото,585,Родирование,Черный бриллиант,Круг,4 шт,Чёрный,0.021 карат,7,6,,Бриллиант (природный),Круг,4 шт,Бесцветный,0.012 карат,2,3,,45000,99990,1,2 мм,11 мм,4 мм,12 мм,,,Черный бриллиант,Круг,1 шт,Чёрный,0.008 карат,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,7010047,SOKOLOV,Для женщин,2.2 г,Красное золото,585,Родирование,Черный бриллиант,Круг,20 шт,Чёрный,0.071 карат,7,6,А,Бриллиант (природный),Круг,1 шт,Бесцветный,0.007 карат,2,3,А,58500,129990,1,2 мм,12 мм,5 мм,12 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1012551,SOKOLOV,Для женщин,2.22 г,Красное золото,585,Родирование,Бриллиант (природный),Круг,16 шт,Бесцветный,0.048 карат,2,3,А,Бриллиант (природный),Круг,1 шт,Бесцветный,0.045 карат,3,6,А,56250,124990,1,2 мм,7 мм,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1011115,SOKOLOV,Для женщин,2.31 г,Комбинированное золото,585,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.11 карат,3,6,А,Бриллиант (природный),Круг,12 шт,Бесцветный,0.115 карат,2,3,А,99000,219990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1010255,SOKOLOV,Для женщин,3.78 г,Красное золото,585,,Бриллиант (природный),Круг,134 шт,Бесцветный,0.496 карат,2,3,,,,,,,,,,119250,264990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,6014071,SOKOLOV,Для женщин,2.51 г,Комбинированное золото,585,Родирование,Бриллиант (природный),Круг,6 шт,Бесцветный,0.127 карат,3,6,,Танзанит,Круг,1 шт,Сиреневый,0.51 карат,,,,87750,194990,1,2 мм,9 мм,5 мм,9 мм,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,6014178,SOKOLOV,Для женщин,2.46 г,Красное золото,585,Родирование,Бриллиант (природный),Круг,17 шт,Бесцветный,0.063 карат,2,3,,Танзанит,Круг,7 шт,Сиреневый,0.828 карат,,,,65250,144990,1,2 мм,5 мм,5 мм,,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,6014169,SOKOLOV,Для женщин,1.45 г,Красное золото,585,Родирование,Бриллиант (природный),Круг,8 шт,Бесцветный,0.043 карат,2,3,,Танзанит,Круг,1 шт,Сиреневый,0.118 карат,,,,36000,79990,1,1 мм,6 мм,5 мм,,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,6014171,SOKOLOV,Для женщин,2.75 г,Белое золото,585,Родирование,Бриллиант (природный),Круг,27 шт,Бесцветный,0.103 карат,3,6,,Бриллиант (природный),Круг,7 шт,Бесцветный,0.052 карат,3,6,,128250,284990,1,2 мм,12 мм,6 мм,12 мм,"1, 25 мм",PREMIUM,Танзанит,Круг,16 шт,Сиреневый,0.149 карат,,,Танзанит,Сердце,1 шт,Сиреневый,0.812 карат,6 мм * 6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,6014177,SOKOLOV,Для женщин,3.24 г,Белое золото,585,Родирование,Бриллиант (природный),Круг,34 шт,Бесцветный,0.129 карат,3,6,,Бриллиант (природный),Круг,16 шт,Бесцветный,0.046 карат,3,6,,141750,314990,1,2 мм,12 мм,7 мм,10 мм,"1, 25 мм",PREMIUM,Бриллиант (природный),Круг,1 шт,Бесцветный,0.007 карат,3,6,Танзанит,Круг,18 шт,Сиреневый,0.167 карат,7 мм * 5 мм,Танзанит,Октагон,1 шт,Сиреневый,0.976 карат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,6014081,SOKOLOV,Для женщин,2.3 г,Белое золото,585,Родирование,Бриллиант (природный),Круг,12 шт,Бесцветный,0.094 карат,2,3,,Бриллиант (природный),Круг,12 шт,Бесцветный,0.035 карат,2,3,,78750,174990,1,2 мм,5 мм,4 мм,18 мм,5 мм,,Бриллиант (природный),Круг,4 шт,Бесцветный,0.015 карат,2,3,Танзанит,Круг,1 шт,Сиреневый,0.51 карат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,6014327-3,SOKOLOV,Для женщин,2.61 г,Белое золото,585,Родирование,Бриллиант (природный),Круг,46 шт,Бесцветный,0.17 карат,2,3,,Танзанит,Овал,1 шт,Сиреневый,0.46 карат,,,,76500,169990,1,2 мм,,,,6 мм * 4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,6014287-3,SOKOLOV,Для женщин,1.69 г,Белое золото,585,Родирование,Бриллиант (природный),Круг,16 шт,Бесцветный,0.059 карат,2,3,,Танзанит,Груша,1 шт,Сиреневый,0.398 карат,,,,42750,94990,1,2 мм,8 мм,4 мм,7 мм,6 мм * 4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2011037-3,SOKOLOV,Для женщин,1.76 г,Белое золото,585,Родирование,Сапфир,Круг,12 шт,Синий,0.342 карат,2,2,,Бриллиант (природный),Круг,23 шт,Бесцветный,0.067 карат,2,3,,54000,119990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2011215-3,SOKOLOV,Для женщин,4.31 г,Белое золото,585,Родирование,Сапфир,Круг,9 шт,Синий,1.178 карат,2,2,А,Бриллиант (природный),Круг,36 шт,Бесцветный,0.138 карат,3,6,,141750,314990,1,1 мм,21 мм,2 мм,4 мм,,PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2011146,SOKOLOV,Для женщин,1.77 г,Белое золото,585,Родирование,Сапфир,Овал,1 шт,Синий,0.577 карат,2,2,,Бриллиант (природный),Круг,18 шт,Бесцветный,0.052 карат,2,3,,60750,134990,1,2 мм,8 мм,5 мм,7 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2011304-3,SOKOLOV,Для женщин,4.47 г,Белое золото,585,Родирование,Сапфир,Груша,4 шт,Синий,0.8 карат,2,2,,Бриллиант (природный),Круг,92 шт,Бесцветный,0.34 карат,2,3,,150750,334990,1,2 мм,,,,,SOKOLOV x LOLITA,Сапфир,Круг,1 шт,Синий,0.043 карат,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2011008,SOKOLOV,Для женщин,3.22 г,Белое золото,585,,Сапфир,Овал,5 шт,Синий,1.046 карат,2,2,,Бриллиант (природный),Круг,30 шт,Бесцветный,0.087 карат,2,3,,101250,224990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2010984,SOKOLOV,Для женщин,2.13 г,Комбинированное золото,585,,Сапфир,Овал,1 шт,Синий,0.209 карат,2,2,,Бриллиант (природный),Круг,12 шт,Бесцветный,0.035 карат,2,3,,54000,119990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2011038,SOKOLOV,Для женщин,2.32 г,Красное золото,585,Родирование,Сапфир,Круг,24 шт,Синий,0.684 карат,2,2,,Бриллиант (природный),Круг,23 шт,Бесцветный,0.067 карат,2,3,,76500,169990,1,2 мм,5 мм,2 мм,19 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2011166,SOKOLOV,Для женщин,1.4 г,Красное золото,585,Родирование,Сапфир,Круг,1 шт,Синий,0.131 карат,2,2,,Бриллиант (природный),Круг,10 шт,Бесцветный,0.029 карат,2,3,,30600,67990,1,2 мм,6 мм,5 мм,6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2011171,SOKOLOV,Для женщин,2.14 г,Красное золото,585,Родирование,Сапфир,Круг,1 шт,Синий,0.229 карат,2,2,,Бриллиант (природный),Круг,14 шт,Бесцветный,0.052 карат,2,3,,54000,119990,1,2 мм,7 мм,6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2011172,SOKOLOV,Для женщин,1.86 г,Красное золото,585,Родирование,Сапфир,Круг,1 шт,Синий,0.229 карат,2,2,,Бриллиант (природный),Круг,28 шт,Бесцветный,0.104 карат,2,3,,56250,124990,1,2 мм,7 мм,6 мм,7 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2011051,SOKOLOV,Для женщин,2.33 г,Красное золото,585,Родирование,Сапфир,Круг,1 шт,Синий,0.277 карат,2,2,,Сапфир,Круг,20 шт,Синий,0.118 карат,2,2,,64500,214990,1,2 мм,11 мм,7 мм,11 мм,,,Бриллиант (природный),Круг,22 шт,Бесцветный,0.064 карат,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,3010579,SOKOLOV,Для женщин,2.68 г,Красное золото,585,Эмаль,Изумруд натуральный,Круг,2 шт,Зелёный,0.006 карат,3,3,,Эмаль,,1 шт,,0.48 карат,,,,63000,139990,1,,,,,,Dolce Vita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,3010580,SOKOLOV,Для женщин,4.37 г,Красное золото,585,Родирование,Черный бриллиант,Круг,114 шт,Чёрный,0.49 карат,7,6,,Изумруд натуральный,Круг,2 шт,Зелёный,0.014 карат,3,3,,141750,314990,1,,,,,,Dolce Vita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,3010522,SOKOLOV,Для женщин,2.11 г,Комбинированное золото,585,,Изумруд натуральный,Овал,1 шт,Зелёный,0.142 карат,3,3,,Бриллиант (природный),Круг,12 шт,Бесцветный,0.035 карат,2,3,,54000,119990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,3010567,SOKOLOV,Для женщин,1.68 г,Красное золото,585,Родирование,Изумруд натуральный,Овал,1 шт,Зелёный,0.2 карат,3,3,,Бриллиант (природный),Круг,10 шт,Бесцветный,0.029 карат,2,3,,47250,104990,1,2 мм,8 мм,5 мм,8 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,3010587,SOKOLOV,Для женщин,2.17 г,Красное золото,585,Родирование,Изумруд натуральный,Круг,1 шт,Зелёный,0.236 карат,3,3,,Бриллиант (природный),Круг,14 шт,Бесцветный,0.052 карат,2,3,,54000,119990,1,2 мм,7 мм,6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,3010648,SOKOLOV,Для женщин,1.72 г,Красное золото,585,Родирование,Изумруд натуральный,Круг,6 шт,Зелёный,0.108 карат,3,3,,Бриллиант (природный),Круг,19 шт,Бесцветный,0.07 карат,2,3,,58500,129990,1,1 мм,6 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,9010152-5,SOKOLOV,Для женщин,2.6 г,Белое золото,585,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.375 карат,2,5,,,,,,,,,,85500,189990,1,2 мм,,,,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,9010154-5,SOKOLOV,Для женщин,2.7 г,Белое золото,585,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.42 карат,2,5,,,,,,,,,,105750,234990,1,2 мм,,,,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
